Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ_percent_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec_percent_Receiving,Prog_Receiving,Url
2018,Alavés,La Liga,Martin Agirregabiria,ESP,DF,21,1996,20.3,1064,86,384,477,250,6,894,18,31,58.1,21,1,581,2736,1522,65,15,5,16,13,525,484,92.2,23,https://fbref.com/en/players/355c883a/Martin-Agirregabiria
2018,Alavés,La Liga,Alexis,ESP,DF,31,1985,24.3,960,127,506,394,102,27,822,6,9,66.7,8,1,401,1882,872,13,4,0,6,3,406,390,96.1,9,https://fbref.com/en/players/db0cd1ae/Alexis
2018,Alavés,La Liga,Burgui,ESP,"MF,FW",23,1993,11.5,459,5,59,220,214,24,443,27,37,73,28,3,382,2042,1137,51,22,9,25,16,459,349,76,70,https://fbref.com/en/players/45e304c8/Burgui
2018,Alavés,La Liga,Ermedin Demirović,BIH,FW,19,1998,2,57,2,4,26,29,8,57,0,1,0,0,0,37,129,60,4,1,2,6,6,72,42,58.3,24,https://fbref.com/en/players/ed79b7d3/Ermedin-Demirovic
2018,Alavés,La Liga,Adrián Diéguez,ESP,DF,21,1996,4.8,216,16,95,107,24,3,183,6,7,85.7,6,0,122,681,401,18,1,2,3,2,111,101,91,1,https://fbref.com/en/players/70438d35/Adrian-Dieguez
2018,Alavés,La Liga,Rubén Duarte,ESP,DF,21,1995,23.8,1229,114,445,534,296,20,1008,11,13,84.6,11,1,530,2490,1280,59,22,4,7,11,511,461,90.2,24,https://fbref.com/en/players/1fe0492d/Ruben-Duarte
2018,Alavés,La Liga,Rodrigo Ely,BRA,DF,23,1993,29.9,1322,228,801,546,51,32,1267,3,3,100,3,0,633,3287,1742,31,1,0,4,1,649,627,96.6,18,https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely
2018,Alavés,La Liga,Enzo Fernández,ESP,MF,22,1995,0.8,37,3,17,18,6,0,37,3,5,60,4,0,31,138,66,2,2,0,1,0,33,27,81.8,2,https://fbref.com/en/players/4cafb146/Enzo-Fernandez
2018,Alavés,La Liga,Manu García,ESP,MF,31,1986,27.1,1346,80,377,821,212,39,1326,16,21,76.2,16,0,820,3476,1604,61,17,2,22,29,865,748,86.5,47,https://fbref.com/en/players/05a4465d/Manu-Garcia
2018,Alavés,La Liga,Ibai Gómez,ESP,"MF,FW",27,1989,25.8,1216,22,176,591,529,53,1049,54,98,55.1,64,5,874,3563,1625,85,32,4,44,46,964,772,80.1,105,https://fbref.com/en/players/9d2a3d5f/Ibai-Gomez
2018,Alavés,La Liga,John Guidetti,SWE,FW,25,1992,13.6,472,10,43,238,218,53,466,13,19,68.4,14,0,330,1149,564,29,10,8,33,13,613,351,57.3,113,https://fbref.com/en/players/99bebd12/John-Guidetti
2018,Alavés,La Liga,Munir El Haddadi,MAR,FW,21,1995,27.2,1086,8,65,481,616,96,990,37,64,57.8,39,1,774,3028,1338,71,28,7,87,69,1176,747,63.5,265,https://fbref.com/en/players/8696bc90/Munir-El-Haddadi
2018,Alavés,La Liga,Héctor Hernández,ESP,DF,26,1991,0.2,8,1,3,4,1,0,7,0,0,NA,0,0,4,17,6,1,0,0,1,0,4,3,75,0,https://fbref.com/en/players/76ee80ee/Hector-Hernandez
2018,Alavés,La Liga,Aleksandar Katai,SRB,"FW,MF",26,1991,0.6,23,0,5,10,12,0,23,4,8,50,4,1,20,144,112,1,1,0,2,1,24,18,75,2,https://fbref.com/en/players/d5127c3f/Aleksandar-Katai
2018,Alavés,La Liga,Bojan Krkić,ESP,"FW,MF",26,1990,4.9,194,3,25,108,81,16,190,10,13,76.9,11,1,164,1018,412,21,8,3,10,13,190,140,73.7,34,https://fbref.com/en/players/9fa0a0b8/Bojan-Krkic
2018,Alavés,La Liga,Víctor Laguardia,ESP,DF,27,1989,17,739,127,443,297,27,13,702,0,0,NA,0,0,345,2010,963,32,2,0,1,0,327,314,96,10,https://fbref.com/en/players/b7c99b9b/Victor-Laguardia
2018,Alavés,La Liga,Víctor López,ESP,"MF,FW",20,1997,0.7,27,0,5,8,18,4,25,0,1,0,0,0,17,161,106,6,3,1,3,1,16,12,75,7,https://fbref.com/en/players/a68856b5/Victor-Lopez
